Title,Year,Votes,Rating
48 Hrs.,1982,42136,6.9
48th Manikchand Filmfare Awards 2002,2003,828,9.6
49 Up,2005,1797,8.2
49th Manikchand Filmfare Awards 2003,2004,853,9.7
49th Parallel,1941,3619,7.5
4: Rise of the Silver Surfer,2007,165920,5.6
4:44 Last Day on Earth,2011,3075,4.5
4Closed,2013,924,5.4
4D Man,1959,838,5.9
5 Against the House,1955,625,5.9
5 Card Stud,1968,1869,6.5
5 Days of War,2011,10602,5.6
5 Fingers,1952,2293,7.8
5 bambole per la luna d'agosto,1970,1194,6
50 First Dates,2004,208503,6.8
50 Ways to Leave Your Lover,2004,938,6
50/50,2011,214650,7.8
500 MPH Storm,2013,953,2.2
51,2011,2223,3.4
51 Birch Street,2005,634,7.4
5150 Rue des Ormes,2009,2090,6.7
52 Pick-Up,1986,2647,6.3
52nd Fair One Filmfare Awards,2007,840,9.2
54,1998,24881,5.7
55 Days at Peking,1963,3624,6.8
55th Idea Filmfare Awards,2010,847,9.4
56 Up,2012,1017,7.8
5ive Girls,2006,2376,4.6
5th Ave Girl,1939,661,7
5x2,2004,6694,6.7
6 Bullets,2012,8820,6.1
6 Days to Air: The Making of South Park,2011,1047,7.7
6 Guns,2010,695,4
6 Souls,2010,20377,6.1
600 kilos d'or pur,2010,632,4.6
61*,2001,10548,7.9
633 Squadron,1964,2061,6.4
"666 - Traue keinem, mit dem Du schlâfst!",2002,713,5.2
666: The Child,2006,666,2.9
666: The Demon Child,2004,542,3
678,2010,1689,7.6
7 Aum Arivu,2011,4826,5.6
7 Below,2012,2953,3.2
7 Faces of Dr. Lao,1964,2956,7.3
7 Khoon Maaf,2011,3179,6.2
7 Nights of Darkness,2011,586,3.9
7 Plus Seven,1970,1507,7.9
7 Seconds,2005,5341,4.8
7 Women,1966,1245,6.9
7 Zwerge,2004,3661,4.6
7 Zwerge - Der Wald ist nicht genug,2006,1549,3.8
7 ans de mariage,2003,856,6
7 cajas,2012,1524,7.3
7 chili in 7 giorni,1986,568,5.7
7 dÃas,2005,543,6.7
7 dÃas en La Habana,2012,2192,6
7 gwanggu,2011,1371,4.6
7 kocali H∏rm∏z,2009,2363,6.4
7 miljonârer,2006,504,4.3
7 vÃrgenes,2005,1060,6.2
7-10 Split,2007,887,4.6
7-beon-bang-ui seon-mul,2013,2285,8.1
7/G Rainbow Colony,2004,927,7.6
