Title,Year,Votes,Rating
Marion Bridge,2002,1088,7
Marius,1931,1179,7.7
Marius et Jeannette,1997,1265,7.1
Marjoe,1972,910,7.6
Marjorie Morningstar,1958,618,6.3
Mark of the Vampire,1935,2556,6.3
Marked Woman,1937,1982,7.4
Marked for Death,1990,12130,5.8
Marketa Lazarov∑,1967,1825,8.2
Marlene,1984,516,7.5
Marley & Me,2008,92498,7.1
Marley & Me: The Puppy Years,2011,1170,3.7
Marley,2012,8396,8
Marlowe,1969,1739,6.4
Marmaduke,2010,9101,4
Marmoulak,2004,3980,8.5
Marnie,1964,27436,7.2
Marooned,1969,2923,5.7
Marquis,1989,630,6.9
Marquis de Sade: Justine,1969,846,5.4
Marquise,1997,774,6.1
Marrakech Express,1989,1164,7.4
Marriage on the Rocks,1965,502,5.8
Married Life,2007,7123,6.3
Married to It,1991,675,6
Married to the Mob,1988,10576,6.1
Mars Attacks!,1996,139396,6.3
Mars Needs Moms,2011,14527,5.4
Mars Needs Women,1967,654,3
Mars na Drinu,1964,586,8.3
Marsal,1999,830,7.2
Martha,1974,1216,7.7
"Martha - Meet Frank, Daniel and Laurence",1998,3623,6.4
Martha Marcy May Marlene,2011,32199,7
"Marti, dupa craciun",2010,2820,7
Martial Law 9/11: Rise of the Police State,2005,753,7.4
Martian Child,2007,15582,6.9
Martians Go Home,1989,566,2.8
Martin & Orloff,2002,698,6.8
Martin,1976,6130,7.2
Martin Lawrence Live: Runteldat,2002,1403,5.4
Martin and Lewis,2002,612,6.5
Marty,1955,11859,7.8
Martyrs,2008,43601,7.1
MartÃn Hache,1997,2355,7.7
Marusa no onna,1987,1100,7.4
Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,2011,1321,7.4
Marvel One-Shot: Agent Carter,2013,1341,7.5
Marvel One-Shot: All Hail the King,2014,2086,7.5
Marvel One-Shot: The Consultant,2011,1114,6.6
Marvin's Room,1996,16170,6.7
Marwencol,2010,2029,7.7
Mary,2005,1430,5.9
Mary Poppins,1964,78253,7.8
Mary Reilly,1996,10504,5.8
Mary and Martha,2013,1435,6.8
Mary and Max,2009,80010,8.2
Mary of Scotland,1936,1402,6.5
"Mary, Mother of Jesus",1999,896,5.8
"Mary, Queen of Scots",1971,2514,7.6
Maryada Ramanna,2010,553,7.3
Maryan,2013,1232,7.5
MarÃa Candelaria Xochimilco,1944,528,7.7
Maschi contro femmine,2010,1070,5.8
Masculin f»minin,1966,6343,7.7
Masjâvlar,2004,2778,6.5
Mask,1985,17387,7.2
Masked and Anonymous,2003,3663,5.5
Maskeli besler intikam pesinde,2005,1878,4
Maskeli besler: Irak,2007,1575,3.3
Maskeli besler: Kibris,2008,2098,2.6
Maskerade,2010,1283,4.8
Masoom,1983,1647,8
Masquerade,1988,2069,6
Masques,1987,748,6.9
Mass Appeal,1984,720,6.6
Mass Effect: Paragon Lost,2012,1411,5.8
Massa'ot James Be'eretz Hakodesh,2003,503,7.4
Massacre at Central High,1976,1102,6.2
Mast,1999,501,5.6
Master and Commander: The Far Side of the World,2003,142390,7.4
Master of the World,1961,1516,6
Masterminds,1997,2663,5.2
Masters of the Universe,1987,22032,5.3
Masti,2004,2821,6.1
Masumiyet,1997,5658,8.4
Mat,1926,1358,7.7
Mat i syn,1997,2280,7.6
Mata Hari,1931,1999,6.7
Matador,1986,6745,7
Mataharis,2007,510,6.6
Matando Cabos,2004,2725,7.5
Matango,1963,1562,6.6
Match Point,2005,130073,7.7
Matching Jack,2010,703,6.5
Matchstick Men,2003,90415,7.3
Mater and the Ghostlight,2006,3676,6.8
Material,2012,631,8
Material Girls,2006,16304,3.7
Matewan,1987,5416,7.9
Matilda,1996,67178,6.8
Matinee,1993,5569,6.7
Matir moina,2002,1812,8.4
Matka Joanna od aniol€w,1961,1199,7.8
Matriculated,2003,1821,6.6
Matrimonio all'italiana,1964,3099,7.4
Matru ki Bijlee ka Mandola,2013,4057,6
Matrubhoomi: A Nation Without Women,2003,1024,7.6
Matterhorn,2013,912,7.1
Matti,2006,2652,5.9
Mattress Man Commercial,2003,975,7.6
Maugli,1973,528,7.8
Maurice,1987,8885,7.8
Maurice Richard,2005,3977,7.7
Mausam,2011,3172,4.6
Mausoleum,1983,642,4.4
Mauvais esprit,2003,719,4.7
Mauvais sang,1986,2727,7.4
Mauvaise passe,1999,1017,6.2
Mauvaises fr»quentations,1999,595,6.5
Maverick,1994,66349,7
Mavi boncuk,1974,2941,7.9
Mavi gàzl∏ dev,2007,966,6.9
Max,2002,5718,6.6
Max Dugan Returns,1983,2371,6.5
Max Havelaar of de koffieveilingen der Nederlandsche handelsmaatschappij,1976,603,7
Max Havoc: Curse of the Dragon,2004,639,4.6
Max Headroom,1985,1138,7.3
Max Keeble's Big Move,2001,4820,5.3
Max Manus,2008,17943,7.4
Max Payne,2008,92536,5.4
Max Schmeling,2010,679,4.7
Max et les ferrailleurs,1971,1115,7.4
Max mon amour,1986,569,6.2
"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders",2006,1989,7.3
Maxie,1985,747,5.4
Maximum Conviction,2012,3818,4.9
Maximum Overdrive,1986,18643,5.3
Maximum Risk,1996,13180,5.3
May,2002,22160,6.8
Maya,1993,1125,5.8
Mayakkam Enna,2011,1535,7.6
Maybe Baby,2000,4560,5.7
Mayerling,1968,819,6.3
Mayis sikintisi,1999,1984,7.6
Mayor,2013,590,7
Mayor of the Sunset Strip,2003,1202,7.1
Mayrig,1991,614,7.5
Maytime,1937,623,7.6
Maze,2000,694,6.6
Mazes and Monsters,1982,2076,4.1
Ma”tresse,1975,962,6.6
McBain,1991,992,4.6
McCabe & Mrs. Miller,1971,13010,7.7
McCanick,2013,642,5
McHale's Navy,1964,519,6.3
McHale's Navy,1997,5015,4.3
McLibel,2005,1835,7.7
McLintock!,1963,7016,7.3
McQ,1974,2696,6.1
McVicar,1980,1138,6.8
Me Myself I,1999,2221,6.5
Me Without You,2001,3161,6.9
Me and My Pal,1933,633,7.3
Me and Orson Welles,2008,7423,6.8
Me and You and Everyone We Know,2005,28102,7.4
"Me, Myself & Irene",2000,150313,6.5
"Me, Natalie",1969,523,7.1
Mea Maxima Culpa: Silence in the House of God,2012,1596,8.1
Mean Creek,2004,22598,7.3
Mean Girls,2004,172042,6.9
Mean Girls 2,2011,10295,4.1
Mean Guns,1997,3039,5.8
Mean Machine,2001,24844,6.5
Mean Streets,1973,55259,7.5
Meantime,1984,1386,7.1
Meat Love,1989,1062,7.1
Meatball Machine,2005,1048,5.8
Meatballs,1979,11622,6.1
Meatballs 4,1992,1648,2.8
Meatballs III: Summer Job,1986,1785,3.2
Meatballs Part II,1984,1548,3.4
Mechenosets,2006,638,5.1
Medalia de onoare,2009,589,7.7
Medea,1969,2149,7.1
Medea,1988,1964,7.2
Medianeras,2011,6598,7.5
Medicine Man,1992,15092,5.9
Medicine for Melancholy,2008,1025,6.8
Meditation on Violence,1948,525,5.9
Mediterraneo,1991,9021,7.4
Medium Cool,1969,2028,7.4
Medium Raw: Night of the Wolf,2010,558,4.3
Medurat Hashevet,2004,519,7
Meduzot,2007,1889,7.1
Mee-Shee: The Water Giant,2005,501,5.4
Meek's Cutoff,2010,6463,6.5
Meet Dave,2008,26309,4.9
Meet Joe Black,1998,135096,7.1
Meet John Doe,1941,7670,7.7
Meet Me in St. Louis,1944,12483,7.7
Meet Monica Velour,2010,1547,5.9
Meet My Mom,2010,535,7.1
Meet Prince Charming,2002,563,4.9
Meet Wally Sparks,1997,2126,5.1
Meet the Applegates,1990,1531,5.2
Meet the Browns,2008,5116,3.8
Meet the Deedles,1998,2030,3.8
Meet the Feebles,1989,13989,6.7
Meet the Fockers,2004,170064,6.3
Meet the Parents,2000,210218,7
Meet the Robinsons,2007,50259,6.9
Meet the Spartans,2008,78224,2.6
Meetin' WA,1986,549,6.4
Meeting Evil,2012,8288,5.3
Meeting People Is Easy,1998,2367,7.5
Meeting Venus,1991,954,6.8
Mega Piranha,2010,3890,2.4
Mega Python vs. Gatoroid,2011,2063,3
Mega Shark vs. Crocosaurus,2010,2814,2.5
Mega Shark vs. Giant Octopus,2009,7748,2.5
Mega Shark vs. Mecha Shark,2014,588,3.1
Mega Snake,2007,902,3.5
MegaFault,2009,1412,3.1
Megaforce,1982,2175,3.4
Megalodon,2002,1497,2.7
Megamind,2010,124242,7.3
Megamind: The Button of Doom,2011,1062,6.5
Megan Is Missing,2011,4100,5.3
Megane,2007,675,7.3
Meghe Dhaka Tara,1960,1122,7.9
Megiddo: The Omega Code 2,2001,2118,4
Meg∑ll az idà,1982,575,8
Meherjaan,2011,571,2.8
Mehman-e maman,2004,1306,7.2
Mei Lanfang,2008,1080,6.8
Mei loi ging chaat,2010,582,3.7
Mei shao nian zhi lian,1998,579,6.9
Mei to Koneko basu,2002,563,7.9
Meiky? monogatari,1987,997,7.3
Meilleur espoir f»minin,2000,768,6.1
Mein F∏hrer - Die wirklich wahrste Wahrheit ∏ber Adolf Hitler,2007,3114,5.4
Mein bester Feind,2011,881,6.7
Mein liebster Feind - Klaus Kinski,1999,6251,7.9
Meitantei Conan: BekÇ Sutor”to no bŸrei,2002,504,7.5
Meitantei Conan: Tokei-jikake no matenrou,1997,677,7.4
Mekagojira no gyakushu,1975,1936,6.1
Mela,2000,2019,3.7
Melancholia,2011,96850,7.1
Melegin d∏s∏s∏,2005,566,6.3
Melinda and Melinda,2004,23325,6.5
Melissa P.,2005,3891,4.8
Melody,1971,1629,7.9
Melody Time,1948,2397,6.6
Meltdown,2006,676,4
Melvin Goes to Dinner,2003,1873,7.1
Melvin and Howard,1980,3013,7
Memento,2000,618839,8.5
Memoirs of a Geisha,2005,102137,7.3
Memoirs of an Invisible Man,1992,14342,5.9
Memoria de mis putas tristes,2011,508,6.1
Memoria del saqueo,2004,714,7.9
Memorial Day,2011,1482,6.1
Memorial Valley Massacre,1989,562,3.4
Memorias del subdesarrollo,1968,1712,7.9
Memories,2013,516,7.8
Memories of Me,1988,626,5.6
Memory,2006,1315,5.3
Memory Lane,2012,544,7.9
Memor”zu,1995,8677,7.6
Memphis Belle,1990,19740,6.9
Men Don't Leave,1990,1810,6.7
Men O'War,1929,626,7.2
Men Seeking Women,1997,521,3.8
Men at Work,1990,15047,5.9
Men in Black,1934,733,7.6
Men in Black,1997,298355,7.2
Men in Black 3,2012,194534,6.9
Men in Black Alien Attack,2000,2990,6.8
Men in Black II,2002,190649,6
Men in War,1957,1170,7.5
Men in White,1998,964,2.6
Men of Boys Town,1941,603,6.5
Men of Honor,2000,75164,7.1
Men of Respect,1990,584,5.3
Men of War,1994,2365,5.7
Men with Brooms,2002,3395,5.9
Men with Guns,1997,2233,7.6
Menace II Society,1993,31995,7.5
Meng long guo jiang,1972,17650,7.3
Meng ying tong nian,2004,785,7.6
Menolippu Mombasaan,2002,1339,6.1
Menschen am Sonntag,1930,1356,7.6
Mensonges et trahisons et plus si affinit»s...,2004,1241,6.9
Mental,2012,3191,6.1
Mentiras y gordas,2009,1356,3.6
Mephisto,1981,5940,7.8
Mer om oss barn i Bullerbyn,1987,562,6.7
Mera Naam Joker,1972,2057,7.9
Merakli kàfteci,1976,1425,7.4
Merantau,2009,5099,6.7
Mercedes mon amour,1992,757,7.9
Mercenaries,2011,961,3.6
Mercenary for Justice,2006,2828,4.1
Merci pour le chocolat,2000,3263,6.6
Mercury Rising,1998,45760,6
Mercy,2000,1804,5.3
Mercy,2009,995,6.1
Mere Baap Pehle Aap,2008,904,5
Mere Brother Ki Dulhan,2011,5161,5.9
Mere Dad Ki Maruti,2013,2479,6.5
Mere Yaar Ki Shaadi Hai,2002,1429,5.3
"Meri Poppins, do svidaniya",1983,536,7.9
Meridian,1990,734,5.1
Merlin and the Book of Beasts,2009,859,3.8
Merlin and the War of the Dragons,2008,1030,3.9
Merlin's Shop of Mystical Wonders,1996,3700,2.3
Mermaid Chronicles Part 1: She Creature,2001,2611,5.9
Mermaids,1990,18355,6.5
Mermaids: The Body Found,2011,965,4.7
Merrill's Marauders,1962,1223,6.8
Merrily We Live,1938,829,7.4
Merry Andrew,1958,517,6.7
Merry Christmas Mr. Lawrence,1983,8214,7.3
"Merry Christmas, Drake & Josh",2008,1717,7
Merry Madagascar,2009,2881,6.9
Merveilleuse Ang»lique,1965,789,6.9
Mery per sempre,1989,528,7.4
Mes chÀres »tudes,2010,1111,6.2
Mes meilleurs copains,1989,589,6.9
Mes nuits sont plus belles que vos jours,1989,880,6.1
Mesa of Lost Women,1953,850,2.4
Meshes of the Afternoon,1943,4818,7.9
Meshi,1951,775,8
Meskada,2010,804,5.3
Mesmer,1994,637,6.1
Mesmerized,1986,544,4.9
Message in a Bottle,1999,23858,6
Messages Deleted,2010,1474,5
Messenger of Death,1988,1214,5.4
Messengers 2: The Scarecrow,2009,2872,4.8
Messiah of Evil,1973,1297,6.5
Mest kinematograficheskogo operatora,1912,1359,7.9
Metal Tornado,2011,959,3.3
Metal: A Headbanger's Journey,2005,8429,8.1
Metallica Through the Never,2013,8778,7.4
Metallica: Cliff 'Em All!,1987,663,8.4
Metallica: Cunning Stunts,1998,1440,8.2
"Metallica: Live Shit - Binge & Purge, San Diego",1993,775,8.4
Metallica: S&M,2000,2063,8.6
Metallica: Some Kind of Monster,2004,11653,7.6
Metalstorm: The Destruction of Jared-Syn,1983,1043,3.5
Metamorphosis,2007,965,3.4
Metastaze,2009,1550,7.7
Metegol,2013,2539,7.3
Meteor,1979,4416,4.9
Meteor Apocalypse,2010,725,3.1
Meteor Storm,2010,698,3.7
Method,2004,745,4.5
Metoroporisu,2001,14367,7.3
Metro,1997,17963,5.4
Metro,2013,3241,6.7
Metro Manila,2013,1368,7.5
Metroland,1997,2604,6.4
Metropia,2009,5053,6.3
Metropolis,1927,82871,8.4
Metropolitan,1990,5869,7.5
Meu Nome NÑo Ö Johnny,2008,2948,7.3
Meu Passado Me Condena: O Filme,2013,502,6.1
Meu Tio Matou um Cara,2004,1191,6.6
Mexican Hayride,1948,821,6.8
Mezzo Forte,1998,669,6.9
Mi mejor enemigo,2005,684,7.2
Mi ni te gong dui,1983,1063,4.8
Mi nismo andjeli,1992,3893,8.4
Mi nismo andjeli 2,2005,2027,5.7
Mi novia est∑... de madre!,2007,654,6.7
Mi primera boda,2011,511,6.1
Mi vida loca,1993,1255,6.5
Mia aioniotita kai mia mera,1998,4782,7.7
Mia zoi tin ehoume,1958,526,8.3
Miami Blues,1990,5036,6.4
Miami Connection,1987,1320,6.2
Miami Rhapsody,1995,2444,5.4
Miami Supercops,1985,2977,6.1
Miami Vice,2006,80138,6
Mibu gishi den,2003,3279,7.7
Michael,1996,31431,5.6
Michael,2011,2819,7
Michael Clayton,2007,114932,7.3
Michael Collins,1996,20082,7.1
Michael Jackson Live in Bucharest: The Dangerous Tour,1992,710,8.4
Michael Jackson: 30th Anniversary Celebration,2001,566,7.8
Michael Jackson: HIStory on Film - Volume II,1997,808,7.6
Michael Jackson: Number Ones,2003,559,7.9
Michael Jackson: Video Greatest Hits - HIStory,1995,990,8.3
Michael Jordan to the Max,2000,1473,7.4
Michael Kohlhaas,2013,1988,6.3
Michael Madana Kamarajan,1991,1169,7.7
Michael Moore Hates America,2004,3189,5.1
Michel Vaillant,2003,3087,5.2
Michou d'Auber,2007,547,6.6
Mickey,1918,753,7.6
Mickey Blue Eyes,1999,26865,5.8
Mickey One,1965,861,6.6
Mickey Virus,2013,1274,6.3
Mickey and the Beanstalk,1947,1447,7.7
Mickey's Christmas Carol,1983,5277,8
Mickey's House of Villains,2001,1041,6.4
Mickey's Magical Christmas: Snowed in at the House of Mouse,2001,1081,6.5
Mickey's Once Upon a Christmas,1999,2013,7.1
Mickey's Trailer,1938,1411,8
Mickey's Twice Upon a Christmas,2004,1356,6.7
"Mickey, Donald, Goofy: The Three Musketeers",2004,2848,6.4
Micki + Maude,1984,1812,5.9
Mickybo and Me,2004,1400,7.3
Micmacs á tire-larigot,2009,20143,7.2
Microcosmos: Le peuple de l'herbe,1996,7967,7.9
Microphone,2010,534,7.3
Microwave Massacre,1983,701,3.4
Middle Men,2009,29880,6.5
Middle of Nowhere,2008,2594,6.6
Middle of the Night,1959,580,7.3
Midgets Vs. Mascots,2009,591,5.3
Midnight,1939,3058,7.9
Midnight,1982,514,4.2
Midnight Bayou,2009,736,5.8
Midnight Chronicles,2009,787,3.9
Midnight Clear,2006,538,6.3
Midnight Cowboy,1969,62868,8
Midnight Express,1978,44376,7.7
Midnight Lace,1960,2416,6.9
Midnight Madness,1980,2286,6.5
Midnight Mary,1933,655,7.1
Midnight Movie,2008,2840,5.1
Midnight Movies: From the Margin to the Mainstream,2005,1005,7.4
Midnight Run,1988,45187,7.6
Midnight Son,2011,1252,6
Midnight in Paris,2011,228783,7.7
Midnight in Saint Petersburg,1996,732,5
Midnight in the Garden of Good and Evil,1997,27721,6.6
Midnight's Children,2012,1467,6
Midsommer,2003,1791,5.9
Midt om natten,1984,1005,6.9
Midway,1976,11223,6.7
Miehen tyà,2007,1445,6.7
Miele,2013,666,6.7
Mientras duermes,2011,14493,7.2
Mies vailla menneisyyttâ,2002,15414,7.7
Miesten vuoro,2010,1837,8
Miffo,2003,1418,5.8
Mifunes sidste sang,1999,6274,7.2
Mig âger ingen,2013,596,6.9
Mighty Aphrodite,1995,26144,7.1
Mighty Joe Young,1949,2704,7
Mighty Joe Young,1998,19219,5.5
Mighty Morphin Power Rangers: The Movie,1995,15417,4.9
Mihai Viteazul,1971,5125,8.4
MikaŒl,1924,938,7.3
Mike Bassett: England Manager,2001,3639,6.7
Mike Tyson: Undisputed Truth,2013,1248,7.5
Mike's Murder,1984,531,5.4
Mike's New Car,2002,5536,7.2
Mikey,1992,1151,5.5
Mikey and Nicky,1976,1075,7.4
Mikra Anglia,2013,1574,8.1
Mikro eglima,2008,549,6
Mil gritos tiene la noche,1982,3562,6
Mila ot Mars,2004,1109,7.3
Milano calibro 9,1972,1502,7.7
Milano odia: la polizia non pu⁄ sparare,1974,996,7.5
Milarepa,2006,543,7.2
Mildred Pierce,1945,12948,8
Milenge Milenge,2010,893,4.1
Miles from Home,1988,929,5.6
Milf,2010,3848,3.8
Milh Hadha al-Bahr,2008,539,7
Mili,1975,612,7.6
Milionari de weekend,2004,1005,7
Militia,2000,564,2.9
Milius,2013,528,7.6
Milk,2008,111049,7.7
Milk Money,1994,7865,5.4
Millennium,1989,3932,5.7
Miller's Crossing,1990,86950,7.9
Million Dollar Arm,2014,2242,7.6
Million Dollar Baby,2004,342329,8.1
Million Dollar Legs,1932,513,7.3
Million Dollar Mermaid,1952,735,6.5
Millions,2004,19434,7
Millions Like Us,1943,501,6.8
Milo,1998,708,4
Milou en mai,1990,1649,7.2
"Milwaukee, Minnesota",2003,604,6.2
Milyang,2007,3392,7.5
Milyarder,1986,1470,7.6
Mim mesle madar,2006,1988,7.6
Mimesis,2011,621,4.4
Mimi wo sumaseba,1995,19180,8
Mimic,1997,30588,5.9
Mimic 2,2001,3172,4.4
Mimic: Sentinel,2003,2087,4.4
Mimino,1977,2420,8.4
Mimœ metallurgico ferito nell'onore,1972,833,7.4
Min Dit: The Children of Diyarbakir,2009,724,7.4
Min and Bill,1930,961,7.5
Mina Tannenbaum,1994,770,7.4
Mina olin siin,2008,693,7.2
Mind Game,2004,4397,8
Mind the Gap,2004,728,7.2
Mindhunters,2004,42801,6.4
Mindscape,2013,1986,6.5
Mindwalk,1990,1903,7.6
Mindwarp,1992,1126,5.2
Mine Games,2012,550,5
Mine vaganti,2010,6483,7.2
Minecraft: The Story of Mojang,2012,783,7.3
Minghags,2009,554,5.6
Minha MÑe » uma Pe¡a: O Filme,2013,1190,6.8
Mini's First Time,2006,6425,5.9
Ministry of Fear,1944,3500,7.2
Minnale,2001,615,7.7
Minnie and Moskowitz,1971,2130,7.4
Minnie the Moocher,1932,795,7.3
MinnÇ-yatteruka!,1994,1777,6.3
Minoes,2001,3064,7
Minority Report,2002,313534,7.7
Minotaur,2006,3194,3.6
Minsaara Kanavu,1997,531,7
Minte-ma frumos,2012,614,7.2
Minutemen,2008,2768,6.1
Minyeo-neun goerowo,2006,3377,7
Minâ ja Morrison,2001,1475,4.8
Mio caro assassino,1972,539,6.5
Mio fratello À figlio unico,2007,4386,7.1
Mio min Mio,1987,3435,6.5
Miracle,2004,30017,7.5
Miracle Beach,1992,831,5.7
Miracle Fish,2009,610,7.2
Miracle Mile,1988,4766,7.1
Miracle Run,2004,1176,7.7
Miracle at St. Anna,2008,14152,6
Miracle in Lane 2,2000,1102,6.3
Miracle in the Rain,1956,656,7.3
Miracle on 34th Street,1947,24547,7.9
Miracle on 34th Street,1994,15670,6.3
Miracolo a Milano,1951,3108,7.8
Mirage,1965,2274,7.5
Mirageman,2007,885,6.8
Miral,2010,2423,6.3
Miranda,1985,1133,5.2
Miranda,2002,1590,5.5
Mircea,1989,505,7.6
Mirch,2010,591,6.6
Mirchi,2013,789,6.8
Mirindas asesinas,1991,640,7.1
Mirror Mirror,1990,612,5.6
Mirror Mirror,2012,57578,5.6
MirrorMask,2005,18297,7
Mirrors,2008,70017,6.2
Mirrors 2,2010,7014,4.9
Mis,1981,2782,8.4
Mischief,1985,3101,6.5
Mischief Night,2006,657,6.5
Miseria e nobiltá,1954,641,8
Misery,1990,106699,7.8
Miseuteo robin ggosigi,2006,882,6.9
Mishima: A Life in Four Chapters,1985,4224,7.9
Miss Austen Regrets,2008,1739,7.2
Miss Bala,2011,5700,6.5
Miss Cast Away,2004,2184,2.2
Miss Conception,2008,2139,4.7
Miss Congeniality,2000,103919,6.1
Miss Congeniality 2: Armed and Fabulous,2005,37505,4.9
Miss Dial,2013,631,6.3
Miss Evers' Boys,1997,672,7.1
Miss Firecracker,1989,1458,6.1
Miss Julie,1999,1189,6.4
Miss Lovely,2012,1827,7.2
Miss March,2009,15947,5
Miss Marple: Nemesis,1987,772,7.8
Miss Muerte,1966,512,6.9
Miss Nobody,2010,1276,5.5
Miss Pettigrew Lives for a Day,2008,18012,7.1
Miss Potter,2006,20487,7
Miss Representation,2011,1355,7.7
Miss Sadie Thompson,1953,824,6
Miss Violence,2013,773,7.1
Missile to the Moon,1958,535,3.5
Missing,1982,10736,7.8
Missing in Action,1984,8435,5.2
Missing in Action 2: The Beginning,1985,4428,5
Missing in America,2005,1248,6.7
Mission Galactica: The Cylon Attack,1979,607,6.8
Mission Istaanbul: Darr Ke Aagey Jeet Hai!,2008,642,3.2
Mission Kashmir,2000,3555,6.9
Mission London,2010,4695,7.6
Mission of the Shark: The Saga of the U.S.S. Indianapolis,1991,521,6.5
Mission to Lars,2012,625,6.6
Mission to Mars,2000,52471,5.5
Mission to Moscow,1943,578,5.4
Mission: Impossible,1996,221870,7
Mission: Impossible - Ghost Protocol,2011,275520,7.4
Mission: Impossible II,2000,178287,6
Mission: Impossible III,2006,189117,6.8
Mission: Improbable,2000,1404,7.7
Missionary Man,2007,1728,5.1
Mississippi Burning,1988,53810,7.8
Mississippi Masala,1991,3399,6.6
Mistaken for Strangers,2013,1014,7.5
Mister 880,1950,684,7.2
Mister Buddwing,1966,620,6.2
Mister Frost,1990,1709,6
Mister Johnson,1990,503,6.5
Mister Lonely,2007,5026,6.3
Mister Magoo's Christmas Carol,1962,1391,7.7
Mister Roberts,1955,11173,7.9
Misterio en la isla de los monstruos,1981,538,3.2
Mistress,1992,1473,5.4
Mist»rios de Lisboa,2010,2017,7.5
Mitchell,1975,3334,2.3
Mithya,2008,1464,7.1
Mitt,2014,1323,7.1
Mitt liv som hund,1985,12258,7.8
Mixed Kebab,2012,581,6.1
Mixed Nuts,1994,6791,5.3
Miyamoto Musashi,1954,4924,7.6
Miyamoto Musashi kanketsuhen: kettŸ Ganry?jima,1956,3575,7.8
Mne ne bolno,2006,810,6.7
Mo gong,2006,2863,6.8
Mo jong yuen So Hat-Yi,1992,1594,6.9
Mo li hua kai,2004,634,6.6
Mo' Better Blues,1990,6884,6.5
Mo' Money,1992,4555,5.3
Moartea domnului Lazarescu,2005,8696,7.9
Mobile Suit Gundam Wing: The Movie - Endless Waltz,2000,1446,8.1
Mobsters,1991,5792,5.8
Mobsters and Mormons,2005,546,6.3
Moby Dick,1956,11217,7.4
Mockingbird Don't Sing,2001,1320,6.5
Mockingbird Lane,2012,3166,7.6
Model Behavior,2000,1998,5.9
Models,1999,568,6.7
Modern Girls,1986,772,5.7
Modern Problems,1981,3204,4.9
Modern Romance,1981,1581,6.9
Modern Times,1936,94275,8.6
Modern Vampires,1998,1583,4.4
Modesty Blaise,1966,1532,5.2
Modigliani,2004,6683,7.4
Modus Anomali,2012,1421,5.5
Moe no suzaku,1997,558,8.3
Moebius,1996,1235,7
Moebiuseu,2013,1117,6.5
Mogadischu,2008,940,7.2
Mogambo,1953,4831,6.7
Mogari no mori,2007,1457,7.3
Mohabbatein,2000,11093,7.1
Mohra,1994,1586,6.8
"Moi C»sar, 10 ans 1/2, 1m39",2003,932,6.2
Mojave Moon,1996,1754,5.2
Molis horisa,2008,555,4.4
MoliÀre,2007,4597,7.3
Molke Soleiman,2010,1934,6.9
Moll Flanders,1996,2956,6.4
Molly,1999,2096,5.8
Molly: An American Girl on the Home Front,2006,519,7
Molokai: The Story of Father Damien,1999,827,6.9
Molokh,1999,1475,6.8
Mom and Dad Save the World,1992,3032,5.2
Mom at Sixteen,2005,1860,7
Mom's Got a Date with a Vampire,2000,1503,5.6
Moment by Moment,1978,761,2.8
Momento,2002,870,7.2
Momentum,2003,687,4.7
Mommie Dearest,1981,8406,6.6
Mommo,2009,979,7.7
Momo,1986,1119,6.7
Momo e no tegami,2011,1063,7.3
Moms' Night Out,2014,1030,6.9
Mon fils á moi,2006,570,6.8
Mon homme,1996,1013,6.5
Mon idole,2002,1192,6.2
Mon meilleur ami,2006,4405,6.8
Mon oncle,1958,10751,7.9
Mon oncle Antoine,1971,1493,7.5
Mon oncle Benjamin,1969,528,7.3
Mon oncle d'Am»rique,1980,2556,7.8
Mon petit doigt m'a dit...,2005,788,6.1
Mon pire cauchemar,2011,1478,6
"Mon pÀre, ce h»ros.",1991,1817,6.1
Mon seung,2006,573,6.3
Mona Lisa,1986,8396,7.3
Mona Lisa Smile,2003,50773,6.3
Monamour,2006,2001,5.5
Monanieba,1984,1710,8.4
Monday,2000,1643,7.5
Monday Night Mayhem,2002,655,6.7
Mondo Topless,1966,755,4.8
Mondo Trasho,1969,715,6.3
Mondo cane,1962,2158,6.4
Mondo cane n. 2,1963,512,5.9
Mondo cannibale,1980,534,3
Mondovino,2004,1148,7.1
Mondscheintarif,2001,712,7
Monella,1998,1600,5.2
Money Talks,1997,19974,6.1
Money Train,1995,27261,5.5
Money for Nothing,1993,2795,5.7
Moneyball,2011,227836,7.6
Mong bat liu,2003,723,7.5
Mong-ta-joo,2013,597,7.4
Mongol,2007,32545,7.3
Mongoland,2001,1037,6.9
Mongolian Death Worm,2010,895,3.4
Monica Z,2013,1407,7.1
Monique,2002,574,6.1
Monkey Business,1931,7719,7.6
Monkey Business,1952,7825,7
Monkey Shines,1988,6118,6.2
Monkey Trouble,1994,4094,5.2
Monkeybone,2001,12503,4.7
"Monkeyshines, No. 1",1890,590,5.5
Monogamy,2010,545,5.1
Monolith,1993,540,4.2
Mononoke-hime,1997,154760,8.5
Monpura,2009,699,8.1
Monrak Transistor,2001,627,7.2
Monsieur Batignole,2002,2306,7.1
Monsieur Hire,1989,3497,7.6
Monsieur Ibrahim et les fleurs du Coran,2003,8094,7.5
Monsieur Lazhar,2011,12219,7.5
Monsieur N.,2003,695,6.6
Monsieur Verdoux,1947,9157,8
Monsignor,1982,599,4.9
Monsoon Wedding,2001,17077,7.4
Monster,2003,85438,7.3
Monster,2008,1113,2.2
Monster Ark,2008,952,3.4
Monster Brawl,2011,1665,3.6
